Codigo de empleado,Periodo,Del,Al,Dias de periodo anterior,Horas de periodo anterior,Dias adjudicados,Dias gozados,Horas gozadas,Dias saldo,Horas saldo
4000,2014-2015,26/02/2014,25/02/2015,0,0,0,0,0,0,0
3130,2014-2015,16/09/2014,15/02/2015,0,0,0,0,0,4,0
2887,2014-2015,20/08/2012,19/02/2015,0,0,0,0,0,6,0
1041,2014-2015,06/09/1999,05/02/2015,0,0,0,0,0,5,0
1912,2014-2015,31/01/2005,27/02/2015,0,0,0,0,0,13,0
2866,2014-2015,04/07/2012,03/02/2015,0,0,0,0,0,6,0
2425,2014-2015,26/04/2010,25/02/2015,0,0,0,0,0,10,0
2335,2014-2015,03/08/2009,01/02/2015,0,0,0,0,0,10.28,0
2367,2014-2015,16/10/2009,15/02/2015,0,0,0,0,0,4,0
1725,2014-2015,20/02/2003,19/02/2015,0,0,0,0,0,1.44,0
2744,2014-2015,27/02/2012,26/02/2015,0,0,0,0,0,12,0
2106,2014-2015,12/02/2007,07/02/2015,0,0,0,0,0,9,0
3120,2014-2015,16/09/2014,15/02/2015,0,0,0,0,0,3,0
2243,2014-2015,07/05/2008,06/02/2015,0,0,0,0,0,9,0
1569,2014-2015,24/01/2002,23/02/2015,0,0,0,0,0,1,0
2957,2014-2015,21/02/2013,20/02/2015,0,0,0,0,0,0,0
2398,2014-2015,09/12/2009,08/02/2015,0,0,0,0,0,2,0
2971,2014-2015,18/04/2013,17/02/2015,0,0,0,0,0,9,0
2705,2014-2015,20/09/2011,19/02/2015,0,0,0,0,0,4,0
2248,2014-2015,07/05/2008,06/02/2015,0,0,0,0,0,8,0
2216,2014-2015,26/11/2007,22/02/2015,0,0,0,0,0,3,0
2361,2014-2015,15/10/2009,14/02/2015,0,0,0,0,0,4,0
2933,2014-2015,13/12/2012,12/02/2015,0,0,0,0,0,2,0
1975,2014-2015,27/06/2005,28/02/2015,0,0,0,0,0,13,0
2771,2014-2015,21/03/2012,20/02/2015,0,0,0,0,0,11,0
3072,2014-2015,20/11/2013,19/02/2015,0,0,0,0,0,3,0
1835,2014-2015,28/06/2004,24/02/2015,0,0,0,0,0,8,0
1301,2014-2015,28/03/2000,27/02/2015,0,0,0,0,0,5,0
1875,2014-2015,05/10/2004,03/02/2015,0,0,0,0,0,4,0
2368,2014-2015,16/10/2009,15/02/2015,0,0,0,0,0,4,0
3146,2014-2015,06/10/2014,05/02/2015,0,0,0,0,0,4,0
1944,2014-2015,01/03/2005,24/02/2015,0,0,0,0,0,11,0
2778,2014-2015,21/03/2012,20/02/2015,0,0,0,0,0,11,0
2958,2014-2015,21/02/2013,20/02/2015,0,0,0,0,0,0,0
2494,2014-2015,14/02/2011,13/02/2015,0,0,0,0,0,0,0
1442,2014-2015,19/03/2001,18/02/2015,0,0,0,0,0,7,0
3111,2014-2015,16/09/2014,15/02/2015,0,0,0,0,0,4,0
3148,2014-2015,06/10/2014,05/02/2015,0,0,0,0,0,3,0
2862,2014-2015,02/07/2012,01/02/2015,0,0,0,0,0,19.96,0
3055,2014-2015,23/09/2013,22/02/2015,0,0,0,0,0,4,0
2641,2014-2015,29/03/2011,28/02/2015,0,0,0,0,0,11,0
1824,2014-2015,01/03/2004,28/02/2015,0,0,0,0,0,9,0
2888,2014-2015,20/08/2012,19/02/2015,0,0,0,0,0,6,0
2217,2014-2015,26/11/2007,25/02/2015,0,0,0,0,0,3,0
1106,2014-2015,01/01/1999,28/02/2015,0,0,0,0,0,12.6,0
2897,2014-2015,18/10/2012,17/02/2015,0,0,0,0,0,4,0
2706,2014-2015,03/10/2011,02/02/2015,0,0,0,0,0,4,0
1222,2014-2015,03/01/2000,02/02/2015,0,0,0,0,0,2,0
2695,2014-2015,16/09/2011,15/02/2015,0,0,0,0,0,5,0
2473,2014-2015,03/06/2010,02/02/2015,0,0,0,0,0,8,0
1365,2014-2015,16/11/2000,15/02/2015,0,0,0,0,0,1,0
2639,2014-2015,29/03/2011,28/02/2015,0,0,0,0,0,11,0
3064,2014-2015,10/10/2013,09/02/2015,0,0,0,0,0,4,0
2453,2014-2015,19/05/2010,18/02/2015,0,0,0,0,0,7,0
3134,2014-2015,16/09/2014,15/02/2015,0,0,0,0,0,5,0
1833,2014-2015,28/06/2004,24/02/2015,0,0,0,0,0,8,0
2342,2014-2015,30/09/2009,28/02/2015,0,0,0,0,0,4,0
3095,2014-2015,26/02/2014,25/02/2015,0,0,0,0,0,0,0
2408,2014-2015,22/01/2010,21/02/2015,0,0,0,0,0,1,0
1750,2014-2015,09/06/2003,08/02/2015,0,0,0,0,0,8,0
1732,2014-2015,21/05/2003,20/02/2015,0,0,0,0,0,7,0
2754,2014-2015,21/03/2012,20/02/2015,0,0,0,0,0,9,0
1990,2014-2015,24/01/2006,21/02/2015,0,0,0,0,0,4.24,0
1309,2014-2015,03/04/2000,02/02/2015,0,0,0,0,0,21,0
1163,2014-2015,27/10/1999,26/02/2015,0,0,0,0,0,3,0
2110,2014-2015,12/02/2007,07/02/2015,0,0,0,0,0,11,0
3090,2014-2015,24/02/2014,23/02/2015,0,0,0,0,0,0,0
1881,2014-2015,03/01/2005,27/02/2015,0,0,0,0,0,0,0
1412,2014-2015,05/03/2001,04/02/2015,0,0,0,0,0,8,0
2260,2014-2015,13/05/2008,12/02/2015,0,0,0,0,0,9,0
4005,2014-2015,26/02/2014,25/02/2015,0,0,0,0,0,11,0
3158,2014-2015,29/10/2014,28/02/2015,0,0,0,0,0,4.64,0
1095,2014-2015,11/10/1999,10/02/2015,0,0,0,0,0,5,0
3026,2014-2015,27/08/2013,26/02/2015,0,0,0,0,0,6,0
1677,2014-2015,20/09/2002,19/02/2015,0,0,0,0,0,4,0
1025,2014-2015,11/08/1999,10/02/2015,0,0,0,0,0,6,0
2849,2014-2015,24/05/2012,23/02/2015,0,0,0,0,0,7,0
2760,2014-2015,21/03/2012,20/02/2015,0,0,0,0,0,9,0
2950,2014-2015,21/02/2013,20/02/2015,0,0,0,0,0,11,0
1379,2014-2015,20/11/2000,19/02/2015,0,0,0,0,0,1,0
2815,2014-2015,07/05/2012,06/02/2015,0,0,0,0,0,8,0
3119,2014-2015,16/09/2014,15/02/2015,0,0,0,0,0,4,0
3023,2014-2015,27/08/2013,26/02/2015,0,0,0,0,0,6,0
1651,2014-2015,03/06/2002,02/02/2015,0,0,0,0,0,6,0
2970,2014-2015,18/04/2013,17/02/2015,0,0,0,0,0,11,0
2991,2014-2015,13/05/2013,12/02/2015,0,0,0,0,0,9,0
2730,2014-2015,27/02/2012,26/02/2015,0,0,0,0,0,0,0
1121,2014-2015,18/10/1999,17/02/2015,0,0,0,0,0,2,0
2763,2014-2015,21/03/2012,20/02/2015,0,0,0,0,0,11,0
1711,2014-2015,25/09/2002,24/02/2015,0,0,0,0,0,4,0
1006,2014-2015,28/04/1999,27/02/2015,0,0,0,0,0,34,0
1475,2014-2015,23/04/2001,22/02/2015,0,0,0,0,0,3,0
2128,2014-2015,01/04/2007,10/02/2015,0,0,0,0,0,29.28,0
1756,2014-2015,23/06/2003,22/02/2015,0,0,0,0,0,11.96,0
1671,2014-2015,19/08/2002,18/02/2015,0,0,0,0,0,5,0
2202,2014-2015,24/09/2007,20/02/2015,0,0,0,0,0,29,0
2976,2014-2015,18/04/2013,17/02/2015,0,0,0,0,0,8,0
1469,2014-2015,19/03/2001,18/02/2015,0,0,0,0,0,11,0
1607,2014-2015,06/02/2002,05/02/2015,0,0,0,0,0,0,0
3040,2014-2015,02/09/2013,01/02/2015,0,0,0,0,0,5,0
2792,2014-2015,07/05/2012,06/02/2015,0,0,0,0,0,9,0
2895,2014-2015,18/10/2012,17/02/2015,0,0,0,0,0,5,0
1257,2014-2015,14/02/2000,13/02/2015,0,0,0,0,0,12,0
2740,2014-2015,27/02/2012,26/02/2015,0,0,0,0,0,10,0
2459,2014-2015,19/05/2010,18/02/2015,0,0,0,0,0,9,0
1362,2014-2015,13/11/2000,12/02/2015,0,0,0,0,0,3,0
1689,2014-2015,09/09/2002,08/02/2015,0,0,0,0,0,20.44,0
2737,2014-2015,27/02/2012,26/02/2015,0,0,0,0,0,0,0
2037,2014-2015,15/05/2006,14/02/2015,0,0,0,0,0,9,0
1676,2014-2015,19/08/2002,18/02/2015,0,0,0,0,0,4,0
1988,2014-2015,19/12/2005,20/02/2015,0,0,0,0,0,2,0
461,2014-2015,01/08/2006,08/02/2015,0,0,0,0,0,35.84,0
2722,2014-2015,27/02/2012,26/02/2015,0,0,0,0,0,10,0
3101,2014-2015,16/09/2014,15/02/2015,0,0,0,0,0,4,0
2355,2014-2015,15/10/2009,14/02/2015,0,0,0,0,0,4,0
1854,2014-2015,09/09/2004,08/02/2015,0,0,0,0,0,4,0
2735,2014-2015,27/02/2012,26/02/2015,0,0,0,0,0,12,0
2794,2014-2015,07/05/2012,06/02/2015,0,0,0,0,0,8,0
2296,2014-2015,14/10/2008,12/02/2015,0,0,0,0,0,4,0
2865,2014-2015,04/07/2012,03/02/2015,0,0,0,0,0,6,0
1155,2014-2015,27/10/1999,26/02/2015,0,0,0,0,0,4,0
2978,2014-2015,22/04/2013,21/02/2015,0,0,0,0,0,10,0
2400,2014-2015,09/12/2009,08/02/2015,0,0,0,0,0,1,0
3081,2014-2015,25/11/2013,24/02/2015,0,0,0,0,0,3,0
1872,2014-2015,05/10/2004,03/02/2015,0,0,0,0,0,4,0
1421,2014-2015,19/03/2001,18/02/2015,0,0,0,0,0,12,0
2203,2014-2015,24/09/2007,20/02/2015,0,0,0,0,0,5.96,0
2621,2014-2015,21/03/2011,20/02/2015,0,0,0,0,0,11,0
2306,2014-2015,27/10/2008,23/02/2015,0,0,0,0,0,7,0
2240,2014-2015,07/05/2008,06/02/2015,0,0,0,0,0,7,0
1153,2014-2015,27/10/1999,26/02/2015,0,0,0,0,0,2,0
2271,2014-2015,03/06/2008,02/02/2015,0,0,0,0,0,12,0
2679,2014-2015,12/09/2011,11/02/2015,0,0,0,0,0,4,0
1619,2014-2015,04/03/2002,03/02/2015,0,0,0,0,0,11,0
2943,2014-2015,21/01/2013,20/02/2015,0,0,0,0,0,0,0
2006,2014-2015,27/02/2006,23/02/2015,0,0,0,0,0,14,0
1501,2014-2015,28/05/2001,27/02/2015,0,0,0,0,0,9,0
2446,2014-2015,10/05/2010,09/02/2015,0,0,0,0,0,5,0
2684,2014-2015,12/09/2011,11/02/2015,0,0,0,0,0,5,0
2673,2014-2015,20/06/2011,19/02/2015,0,0,0,0,0,8,0
3135,2014-2015,16/09/2014,15/02/2015,0,0,0,0,0,4,0
2870,2014-2015,04/07/2012,03/02/2015,0,0,0,0,0,5,0
3105,2014-2015,16/09/2014,15/02/2015,0,0,0,0,0,4,0
1363,2014-2015,29/11/2000,28/02/2015,0,0,0,0,0,4,0
3052,2014-2015,30/09/2013,28/02/2015,0,0,0,0,0,3,0
2968,2014-2015,18/04/2013,17/02/2015,0,0,0,0,0,7,0
3123,2014-2015,16/09/2014,15/02/2015,0,0,0,0,0,4,0
2502,2014-2015,14/02/2011,13/02/2015,0,0,0,0,0,11,0
2267,2014-2015,27/05/2008,26/02/2015,0,0,0,0,0,10,0
1620,2014-2015,04/03/2002,03/02/2015,0,0,0,0,0,11,0
3103,2014-2015,16/09/2014,15/02/2015,0,0,0,0,0,5,0
3152,2014-2015,28/10/2014,27/02/2015,0,0,0,0,0,4,0
1152,2014-2015,27/10/1999,26/02/2015,0,0,0,0,0,4,0
1151,2014-2015,27/10/1999,26/02/2015,0,0,0,0,0,4,0
2387,2014-2015,25/11/2009,24/02/2015,0,0,0,0,0,3,0
2726,2014-2015,27/02/2012,26/02/2015,0,0,0,0,0,0,0
2992,2014-2015,13/05/2013,12/02/2015,0,0,0,0,0,8,0
2645,2014-2015,29/03/2011,28/02/2015,0,0,0,0,0,11,0
3080,2014-2015,25/11/2013,24/02/2015,0,0,0,0,0,3,0
3140,2014-2015,16/09/2014,15/02/2015,0,0,0,0,0,4,0
3039,2014-2015,02/09/2013,01/02/2015,0,0,0,0,0,4,0
2416,2014-2015,22/01/2010,21/02/2015,0,0,0,0,0,10,0
2147,2014-2015,23/05/2007,21/02/2015,0,0,0,0,0,9,0
2924,2014-2015,30/11/2012,28/02/2015,0,0,0,0,0,2,0
3092,2014-2015,24/02/2014,23/02/2015,0,0,0,0,0,0,0
2274,2014-2015,23/06/2008,22/02/2015,0,0,0,0,0,7,0
2280,2014-2015,23/06/2008,22/02/2015,0,0,0,0,0,7,0
2293,2014-2015,14/10/2008,12/02/2015,0,0,0,0,0,4,0
3012,2014-2015,09/08/2013,08/02/2015,0,0,0,0,0,12,0
3149,2014-2015,06/10/2014,05/02/2015,0,0,0,0,0,3,0
1882,2014-2015,03/01/2005,27/02/2015,0,0,0,0,0,1,0
2723,2014-2015,27/02/2012,26/02/2015,0,0,0,0,0,0,0
2677,2014-2015,12/09/2011,11/02/2015,0,0,0,0,0,2,0
3065,2014-2015,10/10/2013,09/02/2015,0,0,0,0,0,4,0
1974,2014-2015,27/06/2005,28/02/2015,0,0,0,0,0,8,0
2748,2014-2015,12/03/2012,11/02/2015,0,0,0,0,0,8,0
1654,2014-2015,03/06/2002,02/02/2015,0,0,0,0,0,8,0
2619,2014-2015,21/03/2011,20/02/2015,0,0,0,0,0,11,0
3038,2014-2015,02/09/2013,01/02/2015,0,0,0,0,0,5,0
2926,2014-2015,03/12/2012,02/02/2015,0,0,0,0,0,1,0
2648,2014-2015,06/04/2011,05/02/2015,0,0,0,0,0,9,0
3124,2014-2015,16/09/2014,15/02/2015,0,0,0,0,0,3,0
2736,2014-2015,27/02/2012,26/02/2015,0,0,0,0,0,-1,0
3058,2014-2015,30/09/2013,28/02/2015,0,0,0,0,0,3,0
1058,2014-2015,06/09/1999,05/02/2015,0,0,0,0,0,3,0
2860,2014-2015,27/06/2012,26/02/2015,0,0,0,0,0,8,0
2482,2014-2015,29/11/2010,28/02/2015,0,0,0,0,0,2,0
1812,2014-2015,23/02/2004,19/02/2015,0,0,0,0,0,8,0
2642,2014-2015,29/03/2011,28/02/2015,0,0,0,0,0,10,0
2343,2014-2015,30/09/2009,28/02/2015,0,0,0,0,0,5,0
2255,2014-2015,13/05/2008,12/02/2015,0,0,0,0,0,9,0
1213,2014-2015,23/11/1999,22/02/2015,0,0,0,0,0,33.16,0
3048,2014-2015,02/09/2013,01/02/2015,0,0,0,0,0,4,0
2249,2014-2015,07/05/2008,06/02/2015,0,0,0,0,0,9,0
2725,2014-2015,27/02/2012,26/02/2015,0,0,0,0,0,0,0
2647,2014-2015,29/03/2011,28/02/2015,0,0,0,0,0,10,0
1735,2014-2015,21/05/2003,20/02/2015,0,0,0,0,0,8,0
2219,2014-2015,26/11/2007,22/02/2015,0,0,0,0,0,2,0
1969,2014-2015,13/06/2005,09/02/2015,0,0,0,0,0,8,0
1108,2014-2015,31/05/1999,28/02/2015,0,0,0,0,0,12.44,0
3154,2014-2015,28/10/2014,27/02/2015,0,0,0,0,0,3,0
3022,2014-2015,27/08/2013,26/02/2015,0,0,0,0,0,6,0
2432,2014-2015,26/04/2010,25/02/2015,0,0,0,0,0,10,0
1024,2014-2015,09/08/1999,08/02/2015,0,0,0,0,0,7,0
